id,name,link,regular_price,promo_price,brand
121019,"Конфеты Красный Октябрь Трюфели, 200г",https://online.metro-cc.ru/products/200g-krasnyj-oktyabr-tryufeli,329,,КРАСНЫЙ ОКТЯБРЬ
516244,"Конфеты Mars Minis шоколадные, 2.7кг",https://online.metro-cc.ru/products/shokoladnye-mars-minis-27kg,2 629,,MARS
496202,"Пирожное Kinder Delice бисквитное с молочной начинкой, 39г",https://online.metro-cc.ru/products/pirozhnoe-biskvitnoe-kinder-reg-delice-pokrytoe-kakao-glazuryu-s-molochnoj-nachinkoj-39g,69.90,,KINDER DELICE
406448,"Конфеты Красный Октябрь Цитрон, 250г",https://online.metro-cc.ru/products/art-406448,161,109,КРАСНЫЙ ОКТЯБРЬ
465490,"Конфеты Zentis Марципановая картошка, 250г",https://online.metro-cc.ru/products/zentis-marcipanovaya-kartoshka-250g,499,449,ZENTIS
222269,"Конфеты Аленка Красный Октябрь, 1кг",https://online.metro-cc.ru/products/1kg-konfety-alenka-krasnyy-oktyabr-paket,795,,АЛЕНКА
275413,"Набор конфет Ferrero Collection, 360г",https://online.metro-cc.ru/products/ferrero-collection-raffaello-ferrero-rocher-ferrero-rondnoir-3592g,2 129,,FERRERO
218429,"Конфеты Kdv Мексикана, 500г",https://online.metro-cc.ru/products/500g-konfety-kdv-meksikana,165,,Без бренда
230478,"Леденцы Candy Lane Фруктовый коктейль, 200г",https://online.metro-cc.ru/products/ledentsy-candy-lane-fruktovyy-kokteyl-200g,227,,CANDY LANE
205585,"Конфеты Кондитерская фабрика Крупской Мишка на севере, 200г",https://online.metro-cc.ru/products/200g-konfety-kf-krupskoy-mishka-na-severe,263,,КОНДИТЕРСКАЯ ФАБРИКА КРУПСКОЙ
122033,"Конфеты Красный Октябрь Мама приехала с гречкой и черникой, 200г",https://online.metro-cc.ru/products/200g-krasnyj-oktyabr-mama-priehala,184,109,КРАСНЫЙ ОКТЯБРЬ
406444,"Конфеты Красный Октябрь Ромашки шоколадные, 250г",https://online.metro-cc.ru/products/romashki-krasnyj-oktyabr-250g,216,,КРАСНЫЙ ОКТЯБРЬ
335606,"Конфеты Ferrero Rocher шоколадные коллекция, 172г",https://online.metro-cc.ru/products/ferrero-collection-raffaello-ferrero-rocher-ferrero-rondnoir-1722g,809,,FERRERO
242245,"Суфле Casali Schoko-Bananen Банановое в шоколаде, 300г",https://online.metro-cc.ru/products/sufle-casali-bananovoe-v-shokolade-300g,369,349,CASALI
218430,"Конфеты Kdv Яшкинская картошка, 500г",https://online.metro-cc.ru/products/500g-konfety-kdv-yashkinskaya-kartoshka,173,,Без бренда
330355,"Клюква Шармэль в сахарной пудре, 120г",https://online.metro-cc.ru/products/klyukva-udarnica-sharmel-v-saharnoj-pudre-120g,172,,ШАРМЭЛЬ
208714,"Печенье Orion Choco Boy йогурт и клубника, 40г",https://online.metro-cc.ru/products/40g-pechene-orion-choco-boy-yogurt-i-klubnika,49.99,44.90,ORION
314451,"Конфеты Raffaello Тортик, 200г",https://online.metro-cc.ru/products/raffaello-s-celnym-mindalnym-orehom-v-kokosovoj-obsypke-200g,659,,RAFFAELLO
86411,"Конфеты Кремлина шоколадные ассорти фрукты, 1кг",https://online.metro-cc.ru/products/shokoladnye-kremlina-frukty-assorti-1kg,629,549,КРЕМЛИНА
244057,"Печенье Счастье Пасхальный кролик, 90г",https://online.metro-cc.ru/products/90g-pechene-schaste-pashalnyy-krolik,399,299,СЧАСТЬЕ
138820,"Конфеты Рот Фронт Коровка молочные, 180г",https://online.metro-cc.ru/products/180g-konfety-rot-front-korovka,132,,РОТ ФРОНТ
